ObsID,MouseID,CellID,Filename_IV
1,t4347,0141,22n01002
2,t4347,0200,22n01005
3,t4347,0222,22n01008
5,t4347,0300,22n01012
6,t4347,0317,22n01015
7,t4347,0357,22n01019
8,t4347,0411,22n01021
9,t4347,0423,22n01023
10,t4347,0436,22n01025
11,t4347,0500,22n01027
12,t4347,0513,22n01029
13,t4355,0123,22n02001
15,t4355,0209,22n02008
16,t4355,0221,22n02012
17,t4355,0242,22n02014
18,t4355,0302,22n02018
19,t4355,0317,22n02022
20,t4355,0348,22n02024
21,t4355,0419,22n02027
22,t4355,0434,22n02030
23,t4349,0129,22n03003
24,t4349,0150,22n03006
25,t4349,0210,22n03009
26,t4349,0229,22n03013
27,t4349,0247,22n03017
28,t4349,0324,22n03019
29,t4349,0409,22n03023
30,t4349,0444,raw_ephys_data
31,t4366,0139,22n04001
32,t4366,0154,22n04003
33,t4366,0208,22n04005
14,t4355,0135,22n04006
34,t4366,0220,22n04007
35,t4366,0236,22n04009
36,t4366,0250,22n04011
37,t4366,0302,22n04016
38,t4366,0319,22n04018
39,t4366,0358,22n04020
40,t4366,0410,22n04022
41,t4366,0422,22n04024
42,t4366,0448,22n04026
43,t4361,0125,22n08001
44,t4361,0215,22n08004
45,t4361,0232,22n08007
46,t4361,0249,22n08011
47,t4361,0322,22n08013
48,t4361,0336,22n08015
49,t4361,0349,22n08017
50,t4361,0415,22n08020
51,t4384,0134,22n09001
55,t4384,0312,22n09014
56,t4384,0326,22n09016
57,t4384,0340,22n09018
58,t4384,0354,22n09020
59,t4384,0416,22n09022
60,t4384,0429,22n09025
61,t4370,0136,22n10001
62,t4370,0148,22n10003
63,t4370,0208,22n10005
64,t4370,0222,22n10007
65,t4370,0236,22n10012
66,t4370,0253,22n10014
67,t4370,0310,22n10016
68,t4370,0324,22n10020
69,t4370,0343,22n10022
70,t4370,0356,22n10025
71,t4370,0422,22n10029
72,t4370,0448,22n10031
73,t4394,0130,22n11002
74,t4394,0144,22n11004
75,t4394,0203,22n11008
76,t4394,0225,22n11010
77,t4394,0238,22n11012
78,t4394,0306,22n11014
79,t4394,0320,22n11016
80,t4394,0333,22n11018
81,t4394,0345,22n11024
82,t4394,0412,22n11026
83,t4394,0428,22n11030
84,t4390,0134,22n15002
85,t4390,0150,22n15004
86,t4390,0233,22n15006
87,t4390,0249,22n15008
88,t4390,0308,22n15010
89,t4390,0322,22n15012
90,t4390,0336,22n15014
91,t4390,0348,22n15018
92,t4390,0417,22n15020
93,t4390,0435,22n15022
94,t4414,0148,22n16004
95,t4414,0205,22n16007
96,t4414,0220,22n16009
97,t4414,0236,22n16011
98,t4414,0253,22n16013
99,t4414,0338,22n16022
100,t4414,0353,22n16024
101,t4399,0131,22n17001
102,t4399,0143,22n17003
103,t4399,0205,22n17005
104,t4399,0218,22n17007
105,t4399,0232,22n17009
106,t4399,0246,22n17012
107,t4399,0306,22n17014
108,t4399,0320,22n17018
109,t4399,0351,22n17024
110,t4399,0414,22n17026
111,t4399,0426,22n17029
112,t4416,0129,22n18001
113,t4416,0140,22n18003
114,t4416,0153,22n18005
115,t4416,0205,22n18007
116,t4416,0223,22n18009
117,t4416,0235,22n18013
118,t4416,0249,22n18015
119,t4416,0302,22n18018
120,t4416,0351,22n18023
