Sweep Start (s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, 
0, -79.10156, -75.50049, -75.62256, -75.46997, -75.80566, -75.77515, -75.95825, -76.01929, -75.8667, -75.8667, -75.62256, -75.74463, -75.59204, -75.3479, -75.56152, -75.53101, -75.19531, -75.04272, -75.16479, -75.22583, 
0.0001, -79.19312, -75.3479, -75.62256, -75.77515, -75.92773, -75.83618, -75.74463, -75.8667, -75.95825, -75.83618, -75.80566, -75.71411, -75.74463, -75.65308, -75.62256, -75.68359, -75.37842, -75.53101, -75.13428, -75.25635, 
0.0002, -79.25415, -75.53101, -75.46997, -75.56152, -75.68359, -76.01929, -75.83618, -75.71411, -75.77515, -75.89722, -75.65308, -75.62256, -75.59204, -75.83618, -75.62256, -75.3479, -75.10376, -75.43945, -75.50049, -75.28687, 
0.0003, -78.97949, -75.43945, -75.71411, -75.50049, -75.71411, -75.8667, -76.08032, -75.77515, -75.65308, -75.65308, -75.80566, -75.83618, -75.68359, -75.56152, -75.68359, -75.46997, -75.25635, -75.22583, -75.56152, -75.53101, 
0.0004, -78.91846, -75.16479, -75.65308, -75.50049, -75.71411, -75.53101, -75.8667, -75.92773, -75.83618, -75.65308, -75.53101, -75.74463, -75.59204, -75.56152, -75.50049, -75.59204, -75.10376, -75.40894, -75.25635, -75.3479, 
0.0005, -79.01001, -75.25635, -75.77515, -75.31738, -75.56152, -75.71411, -75.50049, -75.68359, -75.65308, -75.59204, -75.65308, -75.71411, -75.53101, -75.53101, -75.71411, -75.46997, -75.19531, -75.16479, -75.40894, -75.28687, 
0.0006, -79.13208, -75.43945, -75.13428, -75.71411, -75.53101, -75.59204, -75.74463, -75.50049, -75.8667, -75.89722, -75.50049, -75.56152, -75.40894, -75.68359, -75.56152, -75.65308, -75.40894, -75.31738, -75.16479, -75.46997, 
0.0007, -78.67432, -75.3479, -75.62256, -75.37842, -75.65308, -75.92773, -75.71411, -75.83618, -75.74463, -75.43945, -75.50049, -75.43945, -75.89722, -75.74463, -75.56152, -75.43945, -75.16479, -75.46997, -75.28687, -75.16479, 
0.0008, -79.10156, -75.43945, -75.71411, -75.40894, -75.40894, -75.80566, -75.8667, -75.77515, -75.8667, -75.83618, -75.71411, -75.65308, -75.43945, -75.65308, -75.74463, -75.65308, -75.19531, -75.19531, -75.53101, -75.16479, 
0.0009, -78.94897, -75.59204, -75.65308, -75.56152, -75.3479, -75.80566, -75.53101, -76.11084, -75.53101, -75.68359, -75.92773, -75.77515, -75.80566, -75.68359, -75.43945, -75.59204, -75.37842, -75.43945, -75.43945, -75.56152, 
0.001, -78.88794, -75.56152, -75.80566, -75.59204, -75.53101, -75.40894, -75.74463, -75.71411, -75.80566, -75.59204, -75.56152, -75.83618, -75.77515, -75.80566, -75.83618, -75.56152, -75.3479, -75.62256, -75.37842, -75.22583, 
0.0011, -78.94897, -75.25635, -75.68359, -75.31738, -75.65308, -75.74463, -75.62256, -75.77515, -75.43945, -75.83618, -75.65308, -75.22583, -75.65308, -75.83618, -75.77515, -75.62256, -75.28687, -75.28687, -75.65308, -75.53101, 
0.0012, -79.13208, -75.13428, -75.43945, -75.46997, -75.62256, -75.68359, -75.74463, -76.01929, -75.53101, -75.74463, -75.50049, -75.74463, -75.53101, -75.68359, -75.62256, -75.59204, -75.22583, -75.19531, -75.37842, -75.31738, 
0.0013, -78.88794, -75.43945, -75.37842, -75.16479, -75.74463, -75.62256, -75.92773, -75.92773, -75.74463, -75.56152, -75.40894, -75.74463, -75.43945, -75.31738, -75.59204, -75.62256, -75.37842, -75.46997, -75.3479, -75.16479, 
0.0014, -79.07104, -75.28687, -75.37842, -75.13428, -75.50049, -75.80566, -75.74463, -75.80566, -75.83618, -75.89722, -75.56152, -75.77515, -75.46997, -75.68359, -75.65308, -75.56152, -75.46997, -75.37842, -75.56152, -75.31738, 
0.0015, -79.13208, -75.3479, -75.3479, -75.19531, -75.46997, -75.74463, -75.77515, -75.8667, -75.98877, -75.46997, -75.83618, -75.65308, -75.71411, -75.37842, -75.62256, -75.71411, -75.37842, -75.50049, -75.43945, -75.53101, 
0.0016, -79.04053, -75.3479, -75.46997, -75.43945, -75.53101, -75.22583, -75.56152, -75.77515, -75.92773, -75.71411, -75.53101, -75.89722, -75.59204, -75.53101, -75.46997, -75.59204, -75.40894, -75.40894, -75.22583, -75.31738, 
0.0017, -79.25415, -75.50049, -75.37842, -75.56152, -75.46997, -75.68359, -75.56152, -75.83618, -75.80566, -75.92773, -75.56152, -75.56152, -75.77515, -75.53101, -75.50049, -75.37842, -75.19531, -75.31738, -75.56152, -74.89014, 
0.0018, -79.10156, -75.50049, -75.71411, -75.43945, -75.65308, -75.68359, -75.83618, -75.77515, -75.74463, -75.71411, -75.65308, -75.59204, -75.62256, -75.68359, -75.8667, -75.59204, -75.46997, -75.31738, -75.50049, -75.50049, 
0.0019, -78.73535, -75.25635, -75.71411, -75.40894, -75.40894, -75.71411, -75.80566, -75.98877, -76.01929, -75.83618, -75.50049, -75.68359, -75.62256, -75.83618, -75.80566, -75.65308, -75.28687, -75.46997, -75.19531, -75.40894, 
0.002, -79.1626, -75.01221, -75.53101, -75.43945, -75.46997, -75.65308, -75.68359, -75.89722, -75.8667, -75.77515, -75.8667, -75.77515, -75.83618, -75.40894, -75.74463, -75.56152, -75.43945, -75.31738, -75.37842, -75.37842, 
0.0021, -79.01001, -75.31738, -75.28687, -75.22583, -75.68359, -75.46997, -75.62256, -75.68359, -75.71411, -75.62256, -75.80566, -75.43945, -75.71411, -75.80566, -75.59204, -75.83618, -74.85962, -75.56152, -75.22583, -75.28687, 
0.0022, -78.91846, -75.40894, -75.53101, -75.46997, -75.31738, -75.59204, -75.50049, -75.83618, -75.83618, -75.56152, -75.80566, -75.77515, -75.37842, -75.68359, -75.59204, -75.53101, -75.3479, -75.3479, -75.37842, -75.25635, 
0.0023, -78.94897, -75.16479, -75.59204, -75.46997, -75.59204, -75.56152, -75.46997, -75.46997, -76.0498, -75.74463, -75.65308, -75.59204, -75.65308, -75.68359, -75.80566, -75.50049, -75.13428, -75.50049, -75.43945, -75.37842, 
0.0024, -78.58276, -75.3479, -75.50049, -75.13428, -75.43945, -75.74463, -75.62256, -75.95825, -75.77515, -75.74463, -75.80566, -75.74463, -75.56152, -75.59204, -75.65308, -75.50049, -75.16479, -75.31738, -75.28687, -75.62256, 
0.0025, -79.10156, -75.07324, -75.59204, -75.56152, -75.31738, -75.59204, -75.83618, -75.83618, -76.0498, -75.89722, -75.59204, -75.62256, -75.59204, -75.65308, -75.68359, -75.56152, -75.50049, -75.16479, -75.25635, -75.53101, 
0.0026, -78.91846, -75.40894, -75.3479, -75.56152, -75.56152, -75.74463, -75.59204, -75.53101, -75.8667, -75.89722, -75.68359, -75.80566, -75.71411, -75.80566, -75.56152, -75.43945, -75.13428, -75.28687, -75.37842, -75.43945, 
0.0027, -78.85742, -75.13428, -75.53101, -75.25635, -75.65308, -75.65308, -75.56152, -75.56152, -75.77515, -75.74463, -75.65308, -75.8667, -75.50049, -75.74463, -75.65308, -75.74463, -75.13428, -75.43945, -75.50049, -75.31738, 
0.0028, -78.97949, -75.3479, -75.31738, -75.56152, -75.62256, -75.28687, -75.83618, -75.77515, -75.65308, -75.65308, -75.71411, -75.80566, -75.65308, -75.43945, -75.65308, -75.65308, -75.28687, -75.37842, -75.46997, -75.40894, 
0.0029, -78.94897, -75.31738, -75.53101, -75.40894, -75.56152, -75.56152, -75.77515, -75.80566, -75.62256, -75.53101, -75.46997, -75.62256, -75.50049, -75.68359, -75.50049, -75.59204, -75.3479, -75.46997, -75.28687, -75.31738, 
0.003, -78.85742, -75.19531, -75.31738, -75.65308, -75.37842, -75.59204, -75.68359, -75.59204, -75.83618, -75.56152, -75.68359, -75.37842, -75.74463, -75.62256, -75.59204, -75.43945, -75.3479, -75.28687, -75.25635, -75.40894, 
0.0031, -79.04053, -75.13428, -75.59204, -75.25635, -75.83618, -75.50049, -75.68359, -75.65308, -75.71411, -75.77515, -75.3479, -75.65308, -75.3479, -75.71411, -75.46997, -75.56152, -75.19531, -75.62256, -75.19531, -75.43945, 
0.0032, -78.76587, -75.25635, -75.16479, -75.25635, -75.50049, -75.68359, -75.62256, -75.43945, -75.65308, -75.62256, -75.65308, -75.59204, -75.68359, -75.65308, -75.77515, -75.46997, -75.22583, -74.89014, -75.62256, -75.3479, 
0.0033, -79.01001, -75.25635, -75.37842, -75.01221, -75.62256, -75.3479, -75.59204, -75.62256, -75.59204, -75.68359, -75.68359, -75.77515, -75.40894, -75.59204, -75.71411, -75.89722, -75.10376, -75.28687, -75.43945, -75.65308, 
0.0034, -78.88794, -75.25635, -75.56152, -75.07324, -75.43945, -75.71411, -75.59204, -75.62256, -75.50049, -75.53101, -75.92773, -75.50049, -75.56152, -75.46997, -75.56152, -75.77515, -75.56152, -75.3479, -75.3479, -75.50049, 
0.0035, -79.1626, -74.98169, -75.37842, -75.31738, -75.40894, -75.56152, -75.65308, -75.77515, -75.53101, -75.74463, -75.62256, -75.71411, -75.53101, -75.37842, -75.46997, -75.65308, -75.37842, -75.56152, -75.43945, -75.25635, 
0.0036, -78.85742, -75.07324, -75.19531, -75.40894, -75.68359, -75.50049, -75.77515, -75.68359, -75.80566, -75.62256, -75.53101, -75.59204, -75.50049, -75.56152, -75.62256, -75.43945, -75.22583, -75.37842, -75.50049, -75.46997, 
0.0037, -78.97949, -74.89014, -75.59204, -75.31738, -75.43945, -75.46997, -75.56152, -75.74463, -75.77515, -75.80566, -75.59204, -75.80566, -75.31738, -75.65308, -75.65308, -75.50049, -75.13428, -75.19531, -75.43945, -75.43945, 
0.0038, -78.79639, -74.92065, -75.43945, -75.46997, -75.50049, -75.59204, -75.53101, -75.46997, -75.8667, -75.65308, -75.77515, -75.62256, -75.83618, -75.65308, -75.62256, -75.56152, -75.28687, -75.37842, -75.25635, -75.37842, 
